"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-01","2019","01","01","","-21.3","","-28.1","","-24.7","","42.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-02","2019","01","02","","-22.1","","-27.2","","-24.7","","42.7","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-03","2019","01","03","","-20.9","","-27.5","","-24.2","","42.2","","0.0","","","","","","","","","","7","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-04","2019","01","04","","-21.5","","-26.1","","-23.8","","41.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-05","2019","01","05","","-23.8","","-33.2","","-28.5","","46.5","","0.0","","","","","","","","","","34","","33",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-06","2019","01","06","","-30.8","","-37.3","","-34.1","","52.1","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-07","2019","01","07","","-32.1","","-39.1","","-35.6","","53.6","","0.0","","","","","","","","","","34","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-08","2019","01","08","","-30.3","","-34.8","","-32.5","","50.5","","0.0","","","","","","","","","","33","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-09","2019","01","09","","-28.1","","-35.6","","-31.9","","49.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-10","2019","01","10","","-34.0","","-37.7","","-35.8","","53.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-11","2019","01","11","","-34.9","","-38.7","","-36.8","","54.8","","0.0","","","","","","","","","","","M","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-12","2019","01","12","","-29.1","","-34.9","","-32.0","","50.0","","0.0","","","","","","","","","","7","","54",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-13","2019","01","13","","-32.1","","-39.6","","-35.9","","53.9","","0.0","","","","","","","","","","35","","48",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-14","2019","01","14","","-29.7","","-39.3","","-34.5","","52.5","","0.0","","","","","","","","","","34","","44",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-15","2019","01","15","","-25.6","","-30.8","","-28.2","","46.2","","0.0","","","","","","","","","","33","","61",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-16","2019","01","16","","-23.0","","-29.9","","-26.5","","44.5","","0.0","","","","","","","","","","34","","76",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-17","2019","01","17","","-21.1","","-27.1","","-24.1","","42.1","","0.0","","","","","","","","","","36","","57",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-18","2019","01","18","","-19.5","","-27.1","","-23.3","","41.3","","0.0","","","","","","","","","","32","","55",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-19","2019","01","19","","-19.2","","-25.2","","-22.2","","40.2","","0.0","","","","","","","","","","31","","57",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-20","2019","01","20","","-23.5","","-32.8","","-28.2","","46.2","","0.0","","","","","","","","","","36","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-21","2019","01","21","","-30.9","","-38.0","","-34.5","","52.5","","0.0","","","","","","","","","","33","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-22","2019","01","22","","-36.5","","-41.1","","-38.8","","56.8","","0.0","","","","","","","","","","34","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-23","2019","01","23","","-35.2","","-38.3","","-36.7","","54.7","","0.0","","","","","","","","","","33","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-24","2019","01","24","","-32.8","","-37.6","","-35.2","","53.2","","0.0","","","","","","","","","","32","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-25","2019","01","25","","-34.6","","-38.4","","-36.5","","54.5","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-26","2019","01","26","","-34.4","","-39.7","","-37.0","","55.0","","0.0","","","","","","","","","","35","","48",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-27","2019","01","27","","-36.4","","-40.1","","-38.3","","56.3","","0.0","","","","","","","","","","34","","65",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-28","2019","01","28","","","","","","","","","","","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-29","2019","01","29","","-33.5","","-36.6","","-35.0","","53.0","","0.0","","","","","","","","","","34","","37",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2019-01-30","2019","01","30","","-35.4","","-39.5","","-37.5","","55.5","","0.0","","","","","","","","","","","","",""
